Index,LengthOfURL,LengthOfDomain,ObfuscationRate,CharacterProbabilityInURL,LengthOfTLD,ContainsObfuscation,CharacterContinuityRate,CountOfSubdomains,LetterCountInURL,IsDomainAnIP,NumberOfiFrames,CountOfObfuscatedChars,TopLevelDomain,LegitimacyProbabilityOfTLD,Target
34444,19.0,13.0,0.0,0.05654693,3.0,0.0,0.8,1.0,6.0,0.0,0.0,0.0,com,0.5229071,0
23003,,22.0,,0.062426912,3.0,0.0,1.0,1.0,16.0,0.0,,0.0,,0.5229071,1
21303,24.0,15.0,,,3.0,0.0,0.636363636,1.0,,0.0,,0.0,app,0.001502,0
47959,47.0,41.0,0.0,,,,0.205882353,1.0,14.0,0.0,0.0,0.0,ws,,0
33666,60.0,52.0,0.0,,4.0,0.0,0.446808511,1.0,25.0,0.0,0.0,,,0.0017656,0
17002,26.0,19.0,0.0,0.062192278,,0.0,0.818181818,1.0,,0.0,0.0,0.0,com,0.5229071,1
25468,,16.0,,,3.0,0.0,1.0,,,0.0,9.0,0.0,org,0.0799628,1
1334,58.0,21.0,0.0,,,0.0,0.5,1.0,37.0,0.0,0.0,0.0,io,0.0129268,0
2774,52.0,10.0,,0.052097645,2.0,0.0,1.0,,36.0,,0.0,0.0,be,0.0033189,0
12625,,,0.0,0.070799891,3.0,0.0,,1.0,14.0,,0.0,0.0,com,0.5229071,1
1303,24.0,17.0,0.0,0.050512325,2.0,0.0,,,11.0,,,0.0,io,0.0129268,1
52960,45.0,39.0,,0.050681914,,,0.451612903,,31.0,0.0,0.0,0.0,com,0.5229071,0
33027,30.0,22.0,,0.057494367,3.0,0.0,0.833333333,1.0,20.0,0.0,,0.0,app,0.001502,0
10378,22.0,15.0,0.0,,3.0,0.0,,,9.0,0.0,3.0,0.0,com,0.5229071,1
29993,25.0,18.0,0.0,,3.0,0.0,,,12.0,,0.0,0.0,com,0.5229071,1
37180,22.0,,0.0,,,,,1.0,9.0,,,0.0,com,0.5229071,1
20578,24.0,17.0,0.0,0.063599388,3.0,,1.0,1.0,11.0,0.0,1.0,0.0,com,0.5229071,1
53414,34.0,27.0,,0.060972401,2.0,0.0,,,20.0,0.0,,,uk,0.028555,1
30307,22.0,16.0,0.0,,,0.0,0.666666667,,,0.0,0.0,0.0,,,0
10736,22.0,15.0,0.0,,3.0,0.0,1.0,,9.0,0.0,0.0,0.0,com,0.5229071,1
17279,34.0,25.0,0.0,,3.0,,,1.0,22.0,0.0,,,com,0.5229071,0
33612,,20.0,0.0,0.065842201,3.0,0.0,,1.0,14.0,0.0,,0.0,com,,1
39833,23.0,16.0,0.0,,3.0,0.0,1.0,1.0,10.0,0.0,,0.0,com,,1
4326,47.0,41.0,,,2.0,,0.264705882,1.0,15.0,,0.0,0.0,,0.0003477,0
9600,27.0,20.0,0.0,0.069293517,3.0,0.0,1.0,,14.0,0.0,1.0,0.0,com,0.5229071,1
6759,,18.0,0.0,0.056375254,3.0,0.0,1.0,1.0,,0.0,0.0,,com,0.5229071,0
37920,20.0,13.0,,0.070756663,,0.0,1.0,,,0.0,0.0,0.0,co,0.0059772,1
24244,24.0,,,0.0597129,3.0,0.0,0.666666667,1.0,,0.0,4.0,0.0,com,0.5229071,1
23291,37.0,30.0,,,3.0,0.0,1.0,1.0,24.0,,4.0,0.0,com,0.5229071,1
54009,21.0,14.0,0.0,0.063643979,,,1.0,1.0,,,6.0,0.0,edu,0.0115013,1
52095,22.0,15.0,,0.062567582,3.0,0.0,1.0,1.0,9.0,0.0,1.0,,com,0.5229071,1
38303,33.0,26.0,0.0,0.06010209,3.0,,1.0,,20.0,0.0,22.0,,com,0.5229071,1
53046,20.0,13.0,0.0,,3.0,0.0,1.0,,7.0,,0.0,0.0,com,0.5229071,1
48233,,22.0,0.0,0.064325917,3.0,,,1.0,,0.0,0.0,0.0,com,0.5229071,1
49416,76.0,20.0,0.0,0.027635237,,0.0,1.0,1.0,31.0,0.0,0.0,0.0,com,0.5229071,0
31898,34.0,27.0,0.0,,,0.0,,2.0,20.0,0.0,,0.0,br,0.0094423,0
4861,27.0,20.0,,0.060872967,,0.0,1.0,1.0,14.0,0.0,0.0,0.0,com,,1
55677,23.0,16.0,0.0,0.054541129,2.0,,0.444444444,2.0,8.0,0.0,,0.0,,0.028555,1
32585,89.0,22.0,,0.043878842,3.0,0.0,1.0,1.0,58.0,0.0,,0.0,com,0.5229071,0
49597,30.0,23.0,0.0,0.060520978,3.0,0.0,1.0,,17.0,0.0,,0.0,,0.5229071,1
8445,38.0,31.0,,,3.0,0.0,0.608695652,,24.0,,0.0,0.0,,0.0384199,1
33173,19.0,12.0,0.0,,3.0,,1.0,1.0,6.0,0.0,,0.0,com,,1
21182,18.0,11.0,,0.049256505,2.0,,1.0,1.0,5.0,,0.0,,ru,,1
25203,399.0,11.0,0.0,0.034635011,,0.0,0.5,,257.0,1.0,0.0,,24,,0
46466,26.0,,0.0,0.057614662,3.0,0.0,1.0,,13.0,0.0,,0.0,org,0.0799628,1
6958,32.0,23.0,0.0,0.067418391,2.0,,,2.0,20.0,,0.0,,co,0.0059772,0
15852,29.0,22.0,0.0,0.059440844,2.0,,1.0,1.0,16.0,0.0,0.0,,fr,0.0141483,1
17263,,16.0,0.0,0.057619615,2.0,0.0,0.777777778,,9.0,0.0,0.0,0.0,,,1
40797,18.0,11.0,0.0,0.058350552,2.0,0.0,1.0,1.0,5.0,,0.0,0.0,nl,,1
9628,42.0,33.0,0.0,0.060637767,3.0,0.0,0.413793103,,30.0,0.0,0.0,0.0,,,0
952,,19.0,0.0,,2.0,0.0,0.6875,1.0,49.0,0.0,,0.0,,0.0059772,0
55051,23.0,16.0,0.0,0.062787141,3.0,0.0,1.0,1.0,10.0,0.0,1.0,,net,0.0384199,1
53238,,21.0,0.0,,,0.0,1.0,1.0,15.0,0.0,4.0,,org,0.0799628,1
51162,38.0,31.0,0.0,0.049556407,,,1.0,1.0,,0.0,0.0,,org,0.0799628,1
28446,30.0,23.0,0.0,0.058595608,3.0,,1.0,1.0,17.0,,0.0,0.0,com,0.5229071,1
20584,32.0,25.0,,,,0.0,,2.0,18.0,0.0,,0.0,,0.0100856,1
47946,34.0,,0.0,0.057677246,,0.0,1.0,1.0,,0.0,0.0,0.0,com,0.5229071,1
6448,29.0,22.0,0.0,0.067386709,,,0.8,2.0,15.0,0.0,0.0,0.0,,,1
31804,28.0,21.0,,,3.0,0.0,1.0,1.0,,0.0,3.0,0.0,com,0.5229071,1
34924,,16.0,0.0,0.048611697,2.0,0.0,1.0,1.0,,0.0,0.0,0.0,de,0.0326503,1
24476,,21.0,0.0,0.056176869,3.0,0.0,1.0,,,,0.0,0.0,,,1
15447,,37.0,0.0,0.05391795,,0.0,0.735294118,2.0,32.0,0.0,0.0,0.0,co,0.0059772,0
36204,26.0,,0.0,0.065229109,3.0,,1.0,1.0,13.0,,0.0,,com,0.5229071,1
52259,27.0,20.0,0.0,0.055403958,4.0,,1.0,1.0,14.0,0.0,2.0,,info,0.0075051,1
6277,24.0,17.0,0.0,0.062955758,3.0,0.0,1.0,1.0,11.0,0.0,0.0,,com,0.5229071,1
30268,26.0,18.0,0.0,,,0.0,0.785714286,,16.0,0.0,0.0,,app,0.001502,0
49069,31.0,24.0,0.0,0.065646979,3.0,0.0,1.0,1.0,18.0,,1.0,,com,0.5229071,1
37797,46.0,38.0,,0.059013026,2.0,,0.628571429,2.0,,0.0,0.0,0.0,co,0.0059772,0
21818,92.0,19.0,,0.040926299,3.0,0.0,,0.0,69.0,,0.0,0.0,com,,0
12773,,17.0,,0.06539361,3.0,,1.0,1.0,,0.0,2.0,0.0,,0.5229071,1
47599,27.0,20.0,0.0,,3.0,0.0,0.666666667,1.0,,0.0,,,,0.5229071,1
1468,,,0.0,0.054082992,3.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,com,0.5229071,1
53971,25.0,18.0,0.0,0.061631628,3.0,0.0,1.0,,12.0,0.0,6.0,0.0,com,0.5229071,1
17678,34.0,15.0,0.0,,2.0,0.0,1.0,0.0,23.0,0.0,0.0,,cl,0.0012193,0
7444,31.0,24.0,0.0,0.074376607,3.0,0.0,,1.0,18.0,0.0,3.0,0.0,com,0.5229071,1
20134,,19.0,0.0,,3.0,0.0,1.0,1.0,13.0,0.0,,0.0,com,0.5229071,0
46304,34.0,25.0,,0.045740581,,,0.80952381,1.0,16.0,0.0,,,com,,0
47984,33.0,26.0,0.0,,3.0,,1.0,1.0,20.0,,0.0,0.0,com,0.5229071,1
53397,22.0,,,0.064057252,3.0,0.0,1.0,,,0.0,,0.0,com,0.5229071,1
2818,28.0,21.0,0.0,0.057985961,3.0,0.0,1.0,,15.0,0.0,2.0,0.0,com,0.5229071,1
18141,,16.0,0.0,0.066829921,3.0,0.0,1.0,1.0,10.0,,2.0,0.0,com,0.5229071,1
9337,22.0,15.0,0.0,,3.0,,1.0,1.0,,0.0,0.0,0.0,com,0.5229071,1
24530,58.0,50.0,,,,0.0,,,45.0,0.0,0.0,0.0,,,0
13243,22.0,,,0.041978161,,0.0,1.0,,8.0,0.0,0.0,,top,0.0002752,0
15245,31.0,24.0,0.0,0.05888483,3.0,0.0,,1.0,,0.0,,0.0,com,0.5229071,1
21673,29.0,22.0,0.0,0.059720505,3.0,,,1.0,16.0,0.0,,,com,,1
29190,69.0,19.0,0.0,0.056394643,3.0,0.0,0.933333333,1.0,48.0,,4.0,0.0,com,0.5229071,0
2280,19.0,12.0,0.0,0.07062214,,0.0,1.0,1.0,,0.0,0.0,,org,0.0799628,1
25023,30.0,23.0,0.0,,,,,1.0,17.0,0.0,,0.0,org,0.0799628,1
41164,21.0,14.0,0.0,0.029070097,2.0,0.0,0.571428571,1.0,8.0,0.0,0.0,0.0,,5.3e-05,0
48583,23.0,,0.0,,2.0,,1.0,1.0,10.0,0.0,,0.0,,0.0064109,1
39377,35.0,26.0,0.0,0.04460047,3.0,,0.772727273,1.0,17.0,0.0,,0.0,com,,0
15099,27.0,20.0,0.0,0.053977132,2.0,0.0,,2.0,13.0,0.0,1.0,0.0,uk,0.028555,1
47928,23.0,5.0,0.0,0.056557746,2.0,0.0,1.0,0.0,14.0,0.0,1.0,,,,0
35464,21.0,14.0,0.0,0.046440808,,0.0,1.0,,,0.0,0.0,,com,,0
35734,17.0,10.0,0.0,0.041114664,2.0,0.0,1.0,1.0,4.0,,1.0,0.0,de,0.0326503,1
34807,,,,0.057707962,3.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,com,0.5229071,0
23446,32.0,,0.0,0.068789526,3.0,0.0,1.0,,19.0,0.0,3.0,0.0,,0.5229071,1
8485,30.0,23.0,0.0,0.063998082,3.0,0.0,1.0,,17.0,,1.0,0.0,com,0.5229071,1
29077,32.0,,,0.052906719,,0.0,0.529411765,2.0,18.0,,,,com,0.5229071,1
25248,18.0,,0.0,0.03405993,,0.0,,1.0,3.0,0.0,0.0,0.0,net,0.0384199,0
45591,29.0,,,0.066229153,2.0,,1.0,1.0,16.0,0.0,,0.0,ro,0.001523,1
21504,,20.0,,,2.0,0.0,0.923076923,2.0,,0.0,0.0,0.0,ru,0.0180132,0
23457,32.0,,0.0,,3.0,,1.0,1.0,19.0,0.0,0.0,0.0,com,0.5229071,1
5951,27.0,20.0,0.0,0.045925594,4.0,,1.0,,,0.0,,0.0,link,0.0003306,0
38359,32.0,25.0,0.0,0.05906308,3.0,0.0,,1.0,19.0,0.0,2.0,0.0,net,0.0384199,1
34496,22.0,15.0,0.0,0.057506537,2.0,0.0,1.0,1.0,,0.0,1.0,,so,0.0001583,1
30271,46.0,39.0,,0.058299789,3.0,0.0,1.0,,33.0,0.0,0.0,0.0,org,0.0799628,1
19133,28.0,20.0,0.0,0.046104064,3.0,0.0,0.5625,,18.0,0.0,,0.0,,0.0384199,0
43938,28.0,21.0,0.0,,3.0,0.0,,1.0,14.0,0.0,,0.0,com,0.5229071,1
23433,26.0,19.0,0.0,0.063733015,3.0,,,1.0,,0.0,11.0,0.0,edu,0.0115013,1
44402,23.0,16.0,0.0,,3.0,,1.0,,10.0,0.0,0.0,0.0,com,,1
21668,18.0,,0.0,0.055832149,2.0,0.0,,0.0,8.0,,0.0,0.0,pe,0.0004282,0
17679,27.0,21.0,0.0,0.064985548,2.0,,1.0,1.0,15.0,,,,,0.0059772,0
34887,30.0,22.0,0.0,0.038116383,,0.0,,1.0,17.0,0.0,0.0,0.0,app,0.001502,0
14208,39.0,32.0,,,2.0,0.0,0.92,2.0,25.0,,,,uk,0.028555,1
30471,23.0,16.0,0.0,0.073292148,3.0,0.0,1.0,1.0,10.0,,4.0,0.0,org,0.0799628,1
9872,26.0,19.0,0.0,,2.0,0.0,1.0,1.0,13.0,0.0,4.0,0.0,ca,0.0101825,1
10686,,,0.0,0.030483704,3.0,0.0,0.666666667,1.0,9.0,0.0,0.0,0.0,,0.001502,0
19684,29.0,22.0,0.0,0.069625004,,0.0,1.0,1.0,16.0,0.0,,0.0,com,0.5229071,1
41735,38.0,,0.0,0.042844416,3.0,0.0,,,23.0,0.0,0.0,,app,0.001502,0
27656,22.0,15.0,,0.070490692,3.0,0.0,1.0,,,0.0,0.0,0.0,com,0.5229071,1
41203,26.0,19.0,0.0,,3.0,0.0,,,12.0,0.0,0.0,0.0,com,0.5229071,1
20590,27.0,,0.0,0.063556589,3.0,0.0,,1.0,14.0,,0.0,0.0,com,0.5229071,1
53295,,10.0,0.0,0.051703897,3.0,,,,27.0,0.0,,0.0,com,0.5229071,0
2890,37.0,30.0,0.0,0.063938356,2.0,,0.869565217,,23.0,0.0,0.0,0.0,au,0.0100856,1
15594,57.0,22.0,0.0,0.05391826,2.0,0.0,0.526315789,1.0,38.0,0.0,,0.0,io,0.0129268,0
4927,28.0,21.0,0.0,0.061004501,3.0,0.0,,1.0,15.0,0.0,0.0,0.0,,0.5229071,1
33576,30.0,24.0,,0.061803721,,,0.625,2.0,,0.0,0.0,0.0,com,0.5229071,0
36188,25.0,18.0,0.0,,3.0,0.0,,1.0,12.0,0.0,0.0,0.0,com,0.5229071,1
53763,35.0,28.0,0.0,0.068590742,,0.0,0.55,,21.0,0.0,1.0,0.0,,0.0384199,1
45813,23.0,16.0,,0.073499391,3.0,,1.0,,10.0,,0.0,0.0,com,0.5229071,1
26595,22.0,15.0,,0.071887855,3.0,0.0,1.0,1.0,9.0,0.0,4.0,0.0,,0.0799628,1
27561,,18.0,0.0,0.058665945,2.0,,,1.0,12.0,0.0,5.0,0.0,fr,0.0141483,1
27001,31.0,,0.0,0.061578316,3.0,,1.0,,,0.0,0.0,0.0,com,0.5229071,0
27819,,16.0,0.0,0.060753057,,0.0,1.0,1.0,10.0,0.0,0.0,0.0,com,0.5229071,0
5292,23.0,17.0,0.0,0.038485722,3.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,top,0.0002752,0
22192,24.0,17.0,,,3.0,,1.0,,7.0,0.0,2.0,0.0,com,,1
37613,21.0,14.0,0.0,,,,1.0,,8.0,0.0,,,com,0.5229071,1
20697,,13.0,0.0,,,0.0,,1.0,7.0,0.0,8.0,,com,0.5229071,1
40673,27.0,20.0,0.0,0.063531477,3.0,0.0,0.583333333,1.0,13.0,0.0,0.0,0.0,com,0.5229071,1
33364,21.0,14.0,0.0,,2.0,0.0,0.571428571,2.0,7.0,0.0,,0.0,tw,0.0021745,1
51151,34.0,19.0,0.0,,,,0.8,1.0,23.0,0.0,0.0,0.0,com,0.5229071,0
24558,27.0,20.0,0.0,0.059508236,2.0,0.0,0.769230769,,13.0,0.0,3.0,0.0,au,0.0100856,1
55301,22.0,16.0,,0.073801486,3.0,,1.0,1.0,10.0,0.0,,0.0,com,0.5229071,0
14155,25.0,18.0,0.0,,3.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,com,0.5229071,1
12861,31.0,24.0,0.0,,2.0,0.0,0.823529412,2.0,17.0,0.0,2.0,0.0,uk,,1
16183,24.0,17.0,0.0,,3.0,0.0,1.0,1.0,11.0,0.0,,0.0,com,0.5229071,1
23612,20.0,,0.0,0.057522526,,0.0,1.0,1.0,8.0,0.0,0.0,0.0,cf,,0
50271,33.0,26.0,0.0,,3.0,,1.0,1.0,20.0,0.0,0.0,,com,,1
7858,26.0,19.0,0.0,0.06423328,3.0,,1.0,1.0,13.0,0.0,,0.0,org,0.0799628,1
5894,33.0,26.0,,,3.0,0.0,1.0,1.0,,0.0,,0.0,com,0.5229071,1
3942,20.0,13.0,,,3.0,0.0,1.0,1.0,,0.0,2.0,0.0,,0.001502,1
29804,38.0,,0.0,0.060517103,3.0,0.0,,,25.0,0.0,3.0,0.0,com,,1
17607,28.0,21.0,0.0,0.060986123,3.0,0.0,,1.0,15.0,0.0,3.0,0.0,org,,1
38532,63.0,32.0,0.0,0.056014875,2.0,0.0,0.24137931,,45.0,0.0,,0.0,br,,0
46779,18.0,12.0,0.0,0.047599981,,0.0,,,6.0,0.0,0.0,,life,0.0002548,0
55714,27.0,20.0,0.0,0.053142604,2.0,0.0,,,13.0,0.0,0.0,0.0,in,0.0050842,1
18896,20.0,13.0,,0.049783253,3.0,,,1.0,7.0,0.0,0.0,0.0,net,0.0384199,1
45730,,26.0,0.0,0.062780671,,0.0,1.0,1.0,20.0,0.0,0.0,0.0,com,,1
25,,28.0,0.0,0.056885502,3.0,0.0,0.541666667,1.0,25.0,0.0,0.0,0.0,,0.5229071,0
48918,,27.0,0.0,0.055203403,,0.0,1.0,,21.0,0.0,2.0,0.0,com,0.5229071,1
14314,30.0,23.0,0.0,0.056086826,,,,1.0,,,0.0,0.0,org,0.0799628,1
15431,32.0,25.0,0.0,0.064839475,,0.0,1.0,,,0.0,43.0,,com,0.5229071,1
45495,38.0,31.0,0.0,,3.0,0.0,1.0,,,0.0,0.0,0.0,,0.5229071,1
17886,29.0,22.0,,0.058843261,,0.0,1.0,1.0,16.0,0.0,0.0,,net,,1
51712,28.0,21.0,0.0,,3.0,,1.0,1.0,15.0,,1.0,0.0,com,,1
23148,67.0,7.0,0.0,,2.0,0.0,1.0,0.0,48.0,0.0,0.0,0.0,,,0
11000,26.0,20.0,0.0,0.060463186,3.0,0.0,,1.0,,0.0,0.0,0.0,com,0.5229071,0
33956,44.0,37.0,0.0,,3.0,0.0,,1.0,,0.0,0.0,,org,0.0799628,1
12364,23.0,17.0,0.0,,3.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,com,0.5229071,0
32142,24.0,17.0,0.0,0.056521606,2.0,0.0,0.4,3.0,9.0,0.0,1.0,,au,0.0100856,1
30077,26.0,19.0,0.0,0.073647338,2.0,,0.75,2.0,12.0,0.0,,0.0,au,0.0100856,1
45415,,24.0,0.0,,3.0,0.0,1.0,,18.0,0.0,5.0,0.0,com,0.5229071,1
49115,20.0,14.0,0.0,,3.0,0.0,,1.0,,0.0,0.0,0.0,com,0.5229071,0
29060,,20.0,0.0,0.058430314,2.0,0.0,,2.0,13.0,0.0,3.0,0.0,uk,0.028555,1
32666,,,0.0,,3.0,,1.0,1.0,,0.0,3.0,0.0,com,,1
15515,,,,,3.0,0.0,0.75,1.0,14.0,,0.0,0.0,app,0.001502,0
44968,,26.0,0.0,0.062918517,3.0,0.0,,1.0,,0.0,1.0,0.0,com,0.5229071,1
22161,,,0.0,0.051368762,2.0,0.0,,,24.0,0.0,0.0,0.0,co,0.0059772,0
41891,28.0,21.0,0.0,,2.0,0.0,0.857142857,2.0,14.0,0.0,0.0,0.0,uk,,1
7943,,23.0,0.0,,,0.0,0.6,1.0,16.0,,4.0,0.0,com,0.5229071,1
912,27.0,,0.0,0.060612174,,0.0,1.0,1.0,15.0,0.0,0.0,0.0,ro,0.001523,0
46639,18.0,11.0,0.0,0.056831931,2.0,,1.0,1.0,,,0.0,0.0,ca,0.0101825,1
51269,24.0,17.0,0.0,0.062402051,2.0,,1.0,1.0,,0.0,0.0,0.0,fi,0.0027596,1
49729,,13.0,,,3.0,0.0,1.0,1.0,,0.0,2.0,0.0,com,0.5229071,1
19824,22.0,,,0.059033267,3.0,,1.0,1.0,9.0,0.0,0.0,0.0,com,0.5229071,1
12598,21.0,15.0,0.0,0.065617297,,0.0,,1.0,,0.0,,0.0,,0.0799628,0
3082,21.0,14.0,,0.068123469,3.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,org,0.0799628,1
43366,49.0,,0.0,0.052136677,3.0,,0.243243243,1.0,,0.0,,0.0,app,0.001502,0
20992,,15.0,0.0,0.0694261,,,1.0,,9.0,0.0,4.0,0.0,com,0.5229071,1
4602,25.0,18.0,0.0,0.056324352,3.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,com,0.5229071,1
4437,27.0,18.0,,,3.0,0.0,0.428571429,1.0,14.0,0.0,0.0,0.0,app,0.001502,0
26466,89.0,22.0,0.0,,,0.0,1.0,0.0,57.0,,,,com,0.5229071,0
14854,80.0,,0.0,0.035051341,3.0,0.0,0.733333333,0.0,61.0,0.0,0.0,,com,0.5229071,0
39467,26.0,19.0,0.0,0.053767467,,0.0,1.0,1.0,13.0,,19.0,0.0,com,0.5229071,1
6314,32.0,25.0,0.0,0.058840166,,0.0,1.0,1.0,19.0,,0.0,0.0,com,,1
47356,,,,,2.0,,1.0,1.0,12.0,0.0,11.0,0.0,ca,,1
27332,,18.0,0.0,0.055388918,3.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,net,0.0384199,1
